step,tag,value
2048,rollout/ep_len_mean,652.3353607177735
4096,rollout/ep_len_mean,603.5348480224609
6144,rollout/ep_len_mean,660.6678466796875
8192,rollout/ep_len_mean,585.9772766113281
10240,rollout/ep_len_mean,632.1430023193359
12288,rollout/ep_len_mean,650.35771484375
14336,rollout/ep_len_mean,681.0422760009766
16384,rollout/ep_len_mean,694.6421356201172
18432,rollout/ep_len_mean,709.8900421142578
20480,rollout/ep_len_mean,737.5466064453125
22528,rollout/ep_len_mean,765.5580932617188
24576,rollout/ep_len_mean,795.1680603027344
26624,rollout/ep_len_mean,824.0173645019531
28672,rollout/ep_len_mean,842.5843566894531
30720,rollout/ep_len_mean,855.2898071289062
32768,rollout/ep_len_mean,870.7466430664062
34816,rollout/ep_len_mean,889.355908203125
36864,rollout/ep_len_mean,898.7856506347656
38912,rollout/ep_len_mean,915.6429443359375
40960,rollout/ep_len_mean,929.4669067382813
43008,rollout/ep_len_mean,935.6841491699219
45056,rollout/ep_len_mean,941.8091979980469
47104,rollout/ep_len_mean,955.19296875
49152,rollout/ep_len_mean,963.0086059570312
51200,rollout/ep_len_mean,964.4578857421875
2048,rollout/ep_rew_mean,-110.68232574462891
4096,rollout/ep_rew_mean,-109.6275535583496
6144,rollout/ep_rew_mean,-110.78347473144531
8192,rollout/ep_rew_mean,-111.39604187011719
10240,rollout/ep_rew_mean,-110.83295211791992
12288,rollout/ep_rew_mean,-110.29256286621094
14336,rollout/ep_rew_mean,-109.83200531005859
16384,rollout/ep_rew_mean,-109.50313949584961
18432,rollout/ep_rew_mean,-109.08064193725586
20480,rollout/ep_rew_mean,-108.49137802124024
22528,rollout/ep_rew_mean,-107.76847839355469
24576,rollout/ep_rew_mean,-107.06152877807617
26624,rollout/ep_rew_mean,-106.1119758605957
28672,rollout/ep_rew_mean,-105.24407424926758
30720,rollout/ep_rew_mean,-104.50306930541993
32768,rollout/ep_rew_mean,-104.04812393188476
34816,rollout/ep_rew_mean,-102.97180633544922
36864,rollout/ep_rew_mean,-102.26511993408204
38912,rollout/ep_rew_mean,-101.40347061157226
40960,rollout/ep_rew_mean,-100.63508529663086
43008,rollout/ep_rew_mean,-99.81802291870117
45056,rollout/ep_rew_mean,-99.05039672851562
47104,rollout/ep_rew_mean,-98.03479614257813
49152,rollout/ep_rew_mean,-97.2435287475586
51200,rollout/ep_rew_mean,-96.48216018676757
2048,time/fps,654.5
4096,time/fps,538.7
6144,time/fps,505.7
8192,time/fps,489.8
10240,time/fps,487.1
12288,time/fps,481.9
14336,time/fps,477.9
16384,time/fps,474.3
18432,time/fps,471.1
20480,time/fps,470.1
22528,time/fps,470.7
24576,time/fps,472.1
26624,time/fps,471.4
28672,time/fps,470.9
30720,time/fps,472.0
32768,time/fps,472.6
34816,time/fps,471.3
